srcip,srcport,dstip,dstport,proto,total_fpackets ,total_fvolume ,total_bpackets ,total_bvolume ,min_fpktl ,mean_fpktl ,max_fpktl ,std_fpktl ,min_bpktl ,mean_bpktl ,max_bpktl ,std_bpktl ,min_fiat ,mean_fiat ,max_fiat ,std_fiat ,min_biat ,mean_biat ,max_biat ,std_biat ,duration ,min_active ,mean_active ,max_active ,std_active ,min_idle ,mean_idle ,max_idle ,std_idle ,sflow_fpackets ,sflow_fbytes ,sflow_bpackets ,sflow_bbytes ,total_fhlen ,total_bhlen ,"label(1=malware), (0=normal)"
147.32.84.165,1035,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,6,7,9,1,0,0,0,0,6006062,6,7,9,1,3002049,3003019,3003990,1372,2,322,0,0,128,0,0
147.32.84.207,1027,74.125.232.192,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,4,10439,54327,21740,8387,13814,19242,7675,62639,62639,62639,62639,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.191,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,5,6,9,2,0,0,0,0,4963237,489,571,686,102,2253698,2480762,2707826,321116,2,123,1,334,128,60,0
147.32.84.191,123,65.55.56.40,123,17,4,304,0,0,76,76,76,0,-1,-1,-1,0,4,4,5,0,0,0,0,0,2984112,4,4,5,0,2984103,2984103,2984103,0,2,152,0,0,88,0,0
147.32.84.191,1035,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,6,8,9,1,0,0,0,0,6005755,6,8,9,1,3001064,3002865,3004667,2547,2,322,0,0,128,0,0
147.32.84.171,138,147.32.84.165,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
147.32.84.165,137,147.32.84.255,137,17,46,4164,0,0,78,90,96,8,-1,-1,-1,0,5,299043,835989,362720,0,0,0,0,150248082,2252855,4286286,8333465,3504973,1773244,68694611,135615979,94641105,15,1388,0,0,928,0,0
147.32.84.171,137,147.32.84.165,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.208,1027,74.125.232.197,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,7,7532,36619,14620,8601,16853,25106,11670,45196,45196,45196,45196,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.192,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,6,6,8,1,0,0,0,0,5021375,527,7277,20533,11480,2245554,2499771,2753989,359517,2,123,1,334,128,60,0
147.32.84.192,123,65.55.56.40,123,17,4,304,0,0,76,76,76,0,-1,-1,-1,0,5,26157,78461,45296,0,0,0,0,78472,78472,78472,78472,0,0,0,0,0,4,304,0,0,88,0,0
147.32.84.192,1035,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,6,6,7,0,0,0,0,0,6016685,6,6,7,0,3002211,3008332,3014454,8657,2,322,0,0,128,0,0
147.32.84.207,1034,147.32.84.171,139,6,21,2910,11,1425,40,138,318,91,40,129,344,110,6,792,6875,1544,273,1553,6773,1898,15853,15853,15853,15853,0,0,0,0,0,21,2910,11,1425,856,448,0
147.32.84.171,138,147.32.84.191,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
147.32.84.171,137,147.32.84.191,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.191,137,147.32.84.255,137,17,46,4164,0,0,78,90,96,8,-1,-1,-1,0,5,298272,824022,345371,0,0,0,0,150377155,2249537,4275240,8322975,3505441,1765597,68775717,135785837,94766620,15,1388,0,0,928,0,0
147.32.84.209,1027,74.125.232.205,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,5,6335,29694,11891,8316,13474,18632,7294,38013,38013,38013,38013,0,0,0,0,0,7,1082,3,205,296,128,0
147.32.84.193,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,5,5,6,0,0,0,0,0,5172067,500,36611,108559,62308,2265397,2531116,2796836,375784,2,123,1,334,128,60,0
147.32.84.193,123,65.55.56.40,123,17,4,304,0,0,76,76,76,0,-1,-1,-1,0,4,4,5,0,0,0,0,0,3022137,4,4,5,0,3022128,3022128,3022128,0,2,152,0,0,88,0,0
147.32.84.193,1035,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,7,9,14,3,0,0,0,0,6006176,7,9,14,3,3001675,3003073,3004472,1977,2,322,0,0,128,0,0
147.32.84.208,1034,147.32.84.171,139,6,21,2910,11,1364,40,138,318,91,40,124,344,100,4,475,1725,608,167,928,1745,529,9513,9513,9513,9513,0,0,0,0,0,21,2910,11,1364,856,448,0
147.32.84.192,137,147.32.84.255,137,17,46,4164,0,0,78,90,96,8,-1,-1,-1,0,4,300663,922300,349435,0,0,0,0,148554661,2252770,4309515,8422731,3562149,1752865,67813058,133873251,93423220,15,1388,0,0,928,0,0
147.32.84.171,138,147.32.84.192,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
147.32.84.171,137,147.32.84.192,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.204,123,65.55.56.40,123,17,4,304,0,0,76,76,76,0,-1,-1,-1,0,5,5,6,0,0,0,0,0,2972975,5,5,6,0,2972964,2972964,2972964,0,2,152,0,0,88,0,0
147.32.84.204,1035,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,9,9,10,0,0,0,0,0,6027564,9,9,10,0,3001858,3013767,3025677,16842,2,322,0,0,128,0,0
147.32.84.204,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,4,6,9,2,0,0,0,0,5063711,436,595,790,179,2254672,2530962,2807252,390733,2,123,1,334,128,60,0
147.32.84.209,1037,147.32.84.171,139,6,21,2910,11,1364,40,138,318,91,40,124,344,100,5,751,6587,1491,172,1480,6732,1902,15025,15025,15025,15025,0,0,0,0,0,21,2910,11,1364,856,448,0
147.32.84.193,137,147.32.84.255,137,17,46,4164,0,0,78,90,96,8,-1,-1,-1,0,4,298525,815686,353790,0,0,0,0,150485640,2252348,4278859,8331134,3509372,1763100,68824530,135885961,94839184,15,1388,0,0,928,0,0
147.32.84.171,138,147.32.84.193,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
147.32.84.171,137,147.32.84.193,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.205,1035,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,11,11,12,0,0,0,0,0,6025617,11,11,12,0,3001188,3012791,3024394,16409,2,322,0,0,128,0,0
147.32.84.205,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,5,6,10,2,0,0,0,0,5018164,609,723,928,177,2255683,2507997,2760312,356826,2,123,1,334,128,60,0
147.32.84.205,123,65.55.56.40,123,17,4,304,0,0,76,76,76,0,-1,-1,-1,0,5,5,6,0,0,0,0,0,2964008,5,5,6,0,2963997,2963997,2963997,0,2,152,0,0,88,0,0
147.32.84.204,137,147.32.84.255,137,17,46,4164,0,0,78,90,96,8,-1,-1,-1,0,5,300295,905327,348726,0,0,0,0,148759102,2252744,4304232,8406795,3552923,1783277,67923202,134063127,93535978,15,1388,0,0,928,0,0
147.32.84.171,138,147.32.84.204,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
147.32.84.171,137,147.32.84.204,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.205,137,147.32.84.255,137,17,46,4164,0,0,78,90,96,8,-1,-1,-1,0,5,301537,952844,354220,0,0,0,0,150024421,2252576,4322040,8460583,3584083,1773648,68529150,135284652,94406536,15,1388,0,0,928,0,0
147.32.84.171,138,147.32.84.205,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
147.32.84.171,137,147.32.84.205,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.206,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,5,7,10,2,0,0,0,0,5004056,533,7216,20321,11349,2254078,2491203,2728328,335345,2,123,1,334,128,60,0
147.32.84.206,123,65.55.56.40,123,17,4,304,0,0,76,76,76,0,-1,-1,-1,0,7,7,7,0,0,0,0,0,3003799,7,7,7,0,3003785,3003785,3003785,0,2,152,0,0,88,0,0
147.32.84.206,1035,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,8,9,11,1,0,0,0,0,6006380,8,9,11,1,3002446,3003176,3003906,1032,2,322,0,0,128,0,0
147.32.84.207,123,65.55.56.40,123,17,2,152,1,76,76,76,76,0,76,76,76,0,5,5,5,0,0,0,0,0,174101,174101,174101,174101,0,0,0,0,0,2,152,1,76,48,20,0
147.32.84.207,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,5,7,10,2,0,0,0,0,5104312,388,597,734,184,2272603,2551260,2829917,394080,2,123,1,334,128,60,0
147.32.84.207,1031,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,9,10,11,1,0,0,0,0,6003585,9,10,11,1,2998802,3001777,3004752,4207,2,322,0,0,128,0,0
147.32.84.191,138,147.32.84.255,138,17,16,3566,0,0,202,222,229,11,-1,-1,-1,0,5,33,241,77,0,0,0,0,622263472,5,43,259,95,4014992,103710527,240525682,87536491,2,509,0,0,328,0,0
147.32.84.192,138,147.32.84.255,138,17,16,3566,0,0,202,222,229,11,-1,-1,-1,0,5,48,372,121,0,0,0,0,541747283,5,62,385,142,4005121,90291140,240185632,88034597,2,509,0,0,328,0,0
147.32.84.165,138,147.32.84.255,138,17,16,3564,0,0,202,222,229,11,-1,-1,-1,0,4,23,138,43,0,0,0,0,721527111,6,30,152,53,4025401,120254483,240286001,95003334,2,509,0,0,328,0,0
147.32.84.206,137,147.32.84.255,137,17,56,4944,0,0,78,88,96,8,-1,-1,-1,0,1,298780,974982,355661,0,0,0,0,156162521,1501422,3047564,8480010,3054198,1752990,35231175,133652861,65616172,11,988,0,0,1128,0,0
147.32.84.208,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,7,9,12,2,0,0,0,0,5096876,470,656,783,164,2270209,2547453,2824697,392082,2,123,1,334,128,60,0
147.32.84.171,138,147.32.84.207,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
147.32.84.208,123,65.55.56.40,123,17,4,304,0,0,76,76,76,0,-1,-1,-1,0,6,11,16,7,0,0,0,0,2989858,6,11,16,7,2989836,2989836,2989836,0,2,152,0,0,88,0,0
147.32.84.208,1031,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,10,10,11,0,0,0,0,0,6007603,10,10,11,0,3002772,3003785,3004799,1433,2,322,0,0,128,0,0
147.32.84.171,137,147.32.84.207,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.207,137,147.32.84.255,137,17,46,4164,0,0,78,90,96,8,-1,-1,-1,0,6,298743,814570,347546,0,0,0,0,148331446,2252641,4281988,8340375,3514665,1783425,67742740,133702056,93280558,15,1388,0,0,928,0,0
147.32.84.209,1025,147.32.80.9,53,17,6,370,3,1003,50,61,73,10,125,334,489,188,5,6,7,1,0,0,0,0,5297727,341,3904,10656,5850,2251039,2643007,3034976,554327,2,123,1,334,128,60,0
147.32.84.209,123,65.55.56.40,123,17,4,304,0,0,76,76,76,0,-1,-1,-1,0,6,6,7,0,0,0,0,0,3009140,6,6,7,0,3009127,3009127,3009127,0,2,152,0,0,88,0,0
147.32.84.59,1052,147.32.84.193,161,17,8,840,0,0,105,105,105,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,42979133,0,0,0,0,5999681,6139876,6978342,369728,1,105,0,0,168,0,0
147.32.84.206,1038,147.32.84.171,139,6,21,2910,11,1364,40,138,318,91,40,124,344,100,5,716,6451,1457,184,1410,6519,1848,14325,14325,14325,14325,0,0,0,0,0,21,2910,11,1364,856,448,0
147.32.84.209,1035,239.255.255.250,1900,17,6,966,0,0,161,161,161,0,-1,-1,-1,0,8,9,12,2,0,0,0,0,6007075,8,9,12,2,3003072,3003523,3003974,637,2,322,0,0,128,0,0
147.32.84.171,138,147.32.84.208,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
147.32.84.208,137,147.32.84.255,137,17,46,4164,0,0,78,90,96,8,-1,-1,-1,0,4,301266,929843,349813,0,0,0,0,148400419,2252229,4318159,8449551,3577890,1773251,67722971,133672691,93266988,15,1388,0,0,928,0,0
147.32.84.171,137,147.32.84.208,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.171,137,147.32.84.209,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.171,138,147.32.84.209,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
147.32.84.209,137,147.32.84.255,137,17,46,4164,0,0,78,90,96,8,-1,-1,-1,0,5,299188,837320,366434,0,0,0,0,148531335,2252766,4288369,8359525,3525724,1773224,67833114,133893004,93422792,15,1388,0,0,928,0,0
82.162.140.147,62903,147.32.84.192,3389,6,48,3740,125,13452,40,77,581,107,40,107,891,131,1256,157698,452827,121627,4,57018,681792,108458,8255316,2733575,3627355,4521135,1263995,1000606,1000606,1000606,0,24,1870,62,6726,1980,5024,0
82.162.140.147,62945,147.32.84.192,3389,6,36,3278,97,10286,40,91,581,122,40,106,889,135,970,218563,916538,191975,4,79685,1239036,175336,7650043,7650043,7650043,7650043,0,0,0,0,0,36,3278,97,10286,1476,3904,0
82.162.140.147,62986,147.32.84.192,3389,6,39,3427,97,10160,40,87,581,118,40,104,889,135,1671,188905,998201,175953,4,74776,1243766,159772,7178686,7178686,7178686,7178686,0,0,0,0,0,39,3427,97,10160,1608,3904,0
82.162.140.147,63026,147.32.84.192,3389,6,35,3162,91,9868,40,90,581,124,40,108,889,139,1447,206296,1097499,203374,4,73865,801273,129300,7808384,2299016,3404081,4509147,1562798,1000221,1000221,1000221,0,17,1581,45,4934,1424,3664,0
82.162.140.147,63065,147.32.84.192,3389,6,43,3702,101,10492,40,86,581,113,40,103,889,132,1280,193863,808330,159981,1,81423,1242052,168846,8142554,8142554,8142554,8142554,0,0,0,0,0,43,3702,101,10492,1824,4056,0
82.162.140.147,63109,147.32.84.192,3389,6,39,3423,99,10308,40,87,581,118,40,104,889,134,1012,194974,998873,174734,1,75606,1231264,163836,7409630,7409630,7409630,7409630,0,0,0,0,0,39,3423,99,10308,1640,3976,0
82.162.140.147,63184,147.32.84.192,3389,6,45,3744,107,12250,40,83,581,110,40,114,889,138,1099,166785,879291,149916,3,67351,1112138,147655,10235114,1079075,2488652,4938988,2130050,1244207,1384578,1524950,198515,15,1248,35,4083,1920,4304,0
82.162.140.147,63235,147.32.84.192,3389,6,40,3423,97,10216,40,85,581,116,40,105,889,135,1245,165965,421948,110696,4,63812,518821,120044,7307788,2405325,3153522,3901720,1058111,1000743,1000743,1000743,0,20,1711,48,5108,1660,3904,0
82.162.140.147,63274,147.32.84.192,3389,6,42,4050,103,11094,40,96,581,128,40,107,889,136,915,188086,757012,163806,3,76773,1231677,172622,9631961,1218263,3877178,6536094,3760274,1877604,1877604,1877604,0,21,2025,51,5547,1764,4144,0
82.162.140.147,63323,147.32.84.192,3389,6,36,3255,95,10042,40,90,581,122,40,105,889,136,1846,204223,795798,145154,4,76041,1246098,172193,7148143,7148143,7148143,7148143,0,0,0,0,0,36,3255,95,10042,1452,3824,0
82.162.140.147,63362,147.32.84.192,3389,6,40,3414,99,10350,40,85,581,117,40,104,889,133,1516,183131,788169,153506,4,72878,1227864,164647,7142434,7142434,7142434,7142434,0,0,0,0,0,40,3414,99,10350,1648,3984,0
147.32.84.192,138,147.32.84.255,138,17,4,896,0,0,219,224,229,5,-1,-1,-1,0,6,8,11,3,0,0,0,0,99192495,6,8,11,3,99192478,99192478,99192478,0,2,448,0,0,88,0,0
147.32.84.191,138,147.32.84.255,138,17,2,458,0,0,229,229,229,0,-1,-1,-1,0,9,9,9,0,0,0,0,0,9,9,9,9,0,0,0,0,0,2,458,0,0,48,0,0
82.162.140.147,63400,147.32.84.192,3389,6,42,3561,101,10464,40,84,581,114,40,103,888,132,1390,180666,996405,170544,5,74076,1229219,161769,7407817,7407817,7407817,7407817,0,0,0,0,0,42,3561,101,10464,1740,4064,0
147.32.84.165,138,147.32.84.255,138,17,2,458,0,0,229,229,229,0,-1,-1,-1,0,8,8,8,0,0,0,0,0,8,8,8,8,0,0,0,0,0,2,458,0,0,48,0,0
82.162.140.147,63437,147.32.84.192,3389,6,35,3160,95,10056,40,90,581,124,40,105,889,136,4,206749,759147,138517,3,74785,1235428,170183,7029984,7029984,7029984,7029984,0,0,0,0,0,35,3160,95,10056,1412,3824,0
147.32.84.171,138,147.32.84.206,138,17,1,216,0,0,216,216,216,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,28,0,0
82.162.140.147,63489,147.32.84.192,3389,6,40,3453,97,10222,40,86,581,116,40,105,889,135,1386,182277,718928,145298,4,74053,1241767,164460,7109284,7109284,7109284,7109284,0,0,0,0,0,40,3453,97,10222,1660,3904,0
147.32.84.171,137,147.32.84.206,137,17,1,90,0,0,90,90,90,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,28,0,0
147.32.84.206,137,147.32.84.255,137,17,8,624,0,0,78,78,78,0,-1,-1,-1,0,7,324784,770942,405117,0,0,0,0,2273490,2273490,2273490,2273490,0,0,0,0,0,8,624,0,0,168,0,0
82.162.140.147,63562,147.32.84.192,3389,6,37,3468,97,10844,40,93,581,122,40,111,889,141,1756,205585,814864,149296,4,75724,1257790,173008,8911444,1488177,3715534,5942892,3149959,1480375,1480375,1480375,0,18,1734,48,5422,1516,3904,0
147.32.84.165,1038,147.32.84.171,139,6,21,2906,11,1364,40,138,316,91,40,124,344,100,3,733,6528,1472,168,1443,6438,1811,14676,14676,14676,14676,0,0,0,0,0,21,2906,11,1364,856,448,0
82.162.140.147,63651,147.32.84.192,3389,6,43,3563,101,11140,40,82,581,111,40,110,889,139,1197,181772,998411,171761,4,75292,1241228,166852,9273387,1484452,3844567,6204683,3337707,1584252,1584252,1584252,0,21,1781,50,5570,1840,4064,0
82.162.140.147,63701,147.32.84.192,3389,6,38,3354,97,10256,40,88,581,118,40,105,889,135,1181,201385,998095,173405,4,77617,1240907,175310,7451566,7451566,7451566,7451566,0,0,0,0,0,38,3354,97,10256,1568,3904,0
82.162.140.147,63738,147.32.84.192,3389,6,38,3339,97,10152,40,87,581,118,40,104,889,135,1842,191801,711077,139009,1,73924,1240314,167087,7097046,7097046,7097046,7097046,0,0,0,0,0,38,3339,97,10152,1556,3904,0
82.162.140.147,63780,147.32.84.192,3389,6,44,3647,107,10964,40,82,581,110,40,102,889,129,1074,164661,622921,127603,4,62741,616982,123287,10704454,448,2256825,4394277,2199327,1000723,1966989,2933256,1366507,14,1215,35,3654,1904,4328,0
82.162.140.147,63834,147.32.84.192,3389,6,38,3369,97,10160,40,88,581,118,40,104,889,135,1235,192114,998007,169883,4,74047,1241405,168367,7108749,7108749,7108749,7108749,0,0,0,0,0,38,3369,97,10160,1568,3904,0
82.162.140.147,63870,147.32.84.192,3389,6,36,3219,95,10042,40,89,581,121,40,105,889,136,1745,203671,762069,142248,4,75835,1246140,172639,7128822,7128822,7128822,7128822,0,0,0,0,0,36,3219,95,10042,1452,3824,0
82.162.140.147,63905,147.32.84.192,3389,6,35,3180,95,10042,40,90,581,123,40,105,889,136,1917,211976,738501,139050,3,76675,1245538,174107,7207726,7207726,7207726,7207726,0,0,0,0,0,35,3180,95,10042,1412,3824,0
147.32.84.59,1052,147.32.84.193,161,17,8,840,0,0,105,105,105,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,42980114,0,0,0,0,5999649,6140016,6979293,370086,1,105,0,0,168,0,0
82.162.140.147,63942,147.32.84.192,3389,6,35,3199,95,10044,40,91,581,123,40,105,889,136,1279,206796,747135,136995,4,74801,1236711,171044,7031638,7031638,7031638,7031638,0,0,0,0,0,35,3199,95,10044,1412,3824,0
82.162.140.147,63977,147.32.84.192,3389,6,37,3230,95,10030,40,87,581,120,40,105,889,136,1650,203569,797501,149499,5,77966,1243456,174703,7329073,7329073,7329073,7329073,0,0,0,0,0,37,3230,95,10030,1488,3816,0
82.162.140.147,64015,147.32.84.192,3389,6,37,3344,97,10148,40,90,581,120,40,104,889,135,1970,215890,998209,176261,1,77541,1299715,179569,10004949,1460519,3901075,6341631,3451467,2202799,2202799,2202799,0,18,1672,48,5074,1488,3896,0
82.162.140.147,64067,147.32.84.192,3389,6,39,3312,97,10844,40,84,581,116,40,111,889,141,1984,191887,780492,146155,3,74729,1232599,171210,8971028,1471815,3667039,5862264,3104516,1636949,1636949,1636949,0,19,1656,48,5422,1596,3904,0
147.32.84.191,1041,147.32.84.171,139,6,21,2910,11,1364,40,138,318,91,40,124,344,100,5,516,2017,663,263,1006,1990,558,10323,10323,10323,10323,0,0,0,0,0,21,2910,11,1364,856,448,0
82.162.140.147,64115,147.32.84.192,3389,6,38,3355,101,11114,40,88,581,118,40,110,889,136,1719,199885,659323,129622,4,72686,901534,148747,8433797,2365932,3716863,5067794,1910504,1000071,1000071,1000071,0,19,1677,50,5557,1556,4064,0
82.162.140.147,64157,147.32.84.192,3389,6,38,3344,97,10154,40,88,581,118,40,104,889,135,1248,189330,796424,145006,4,72972,1233643,166060,7005613,7005613,7005613,7005613,0,0,0,0,0,38,3344,97,10154,1568,3904,0
82.162.140.147,64196,147.32.84.192,3389,6,37,3208,95,10038,40,86,581,120,40,105,889,136,1637,198334,734666,143566,4,75960,1238852,173168,7140481,7140481,7140481,7140481,0,0,0,0,0,37,3208,95,10038,1488,3816,0
82.162.140.147,64235,147.32.84.192,3389,6,38,3370,97,10210,40,88,581,118,40,105,889,135,941,200511,794556,145226,1,77282,1241261,172010,7419290,7419290,7419290,7419290,0,0,0,0,0,38,3370,97,10210,1576,3896,0
82.162.140.147,64270,147.32.84.192,3389,6,41,3461,105,10520,40,84,581,114,40,100,889,130,1553,163070,349985,100069,4,57505,448453,112577,16042578,221,1510523,3680566,1824414,1000509,3333495,6006067,2519998,10,865,26,2630,1696,4272,0
